"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Get exercises","LMS service","Fri Oct 24 13:26:48 UTC 2025","passed","Fri Oct 24 13:26:48 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Fri Oct 24 13:26:52 UTC 2025","passed","Fri Oct 24 13:26:52 UTC 2025","Get entity","Users","",""
"","16","Create file with empty filename","LMS service","Fri Oct 24 13:26:49 UTC 2025","passed","Fri Oct 24 13:26:49 UTC 2025","Validate entity","Files","",""
"","555","Create user","LMS service","Fri Oct 24 13:26:51 UTC 2025","passed","Fri Oct 24 13:26:51 UTC 2025","Create entity","Users","",""
"","299","Delete file","LMS service","Fri Oct 24 13:26:50 UTC 2025","passed","Fri Oct 24 13:26:51 UTC 2025","Delete entity","Files","",""
"","274","Get file with incorrect file id","LMS service","Fri Oct 24 13:26:51 UTC 2025","passed","Fri Oct 24 13:26:51 UTC 2025","Validate entity","Files","",""
"","561","Create user","LMS service","Fri Oct 24 13:26:51 UTC 2025","passed","Fri Oct 24 13:26:52 UTC 2025","Create entity","Users","",""
"","24","Delete exercise","LMS service","Fri Oct 24 13:26:47 UTC 2025","passed","Fri Oct 24 13:26:47 UTC 2025","Delete entity","Exercises","",""
"","256","Create file with empty directory","LMS service","Fri Oct 24 13:26:50 UTC 2025","passed","Fri Oct 24 13:26:50 UTC 2025","Validate entity","Files","",""
"","555","Login with correct email and password","LMS service","Fri Oct 24 13:26:43 UTC 2025","passed","Fri Oct 24 13:26:43 UTC 2025","Login","Authentication","",""
"","17","Get file","LMS service","Fri Oct 24 13:26:48 UTC 2025","passed","Fri Oct 24 13:26:48 UTC 2025","Get entity","Files","",""
"","263","Create file","LMS service","Fri Oct 24 13:26:49 UTC 2025","passed","Fri Oct 24 13:26:49 UTC 2025","Create entity","Files","",""
"","300","Update exercise","LMS service","Fri Oct 24 13:26:45 UTC 2025","passed","Fri Oct 24 13:26:46 UTC 2025","Update entity","Exercises","",""
"","27","Create course","LMS service","Fri Oct 24 13:26:44 UTC 2025","passed","Fri Oct 24 13:26:44 UTC 2025","Create entity","Courses","",""
"","32","Get courses","LMS service","Fri Oct 24 13:26:43 UTC 2025","passed","Fri Oct 24 13:26:43 UTC 2025","Get entities","Courses","",""
"","35","Update course","LMS service","Fri Oct 24 13:26:44 UTC 2025","passed","Fri Oct 24 13:26:44 UTC 2025","Update entity","Courses","",""
"","296","Get exercise","LMS service","Fri Oct 24 13:26:46 UTC 2025","passed","Fri Oct 24 13:26:47 UTC 2025","Get entity","Exercises","",""
"","26","Create exercise","LMS service","Fri Oct 24 13:26:45 UTC 2025","passed","Fri Oct 24 13:26:45 UTC 2025","Create entity","Exercises","",""
"","289","Create user","LMS service","Fri Oct 24 13:26:51 UTC 2025","passed","Fri Oct 24 13:26:51 UTC 2025","Create entity","Users","",""
